0=special goods
	pax (Passagiere)
	mail (Post)
	steel (Stahl)
	cattle (Rinder)
	milk (Milch)
	cars (Autos)
	cement (Zement)
	glass (Glas)
1= piece good(Stückgut)
	flour (Mehl)
	car_parts (Autoteile)
	berries (Beeren)
	fiber (Textilfaser)
	juice (Saft)
	textiles (Textilien)
	toys (Spielzeug)
	vine (Wein)
	beer (Bier)
	furniture (Möbel)
2=bulk_good (Schüttgut)
	coal (Kohle)
	ore (Erz)
	plastic (Plastik)
	sand (Sand)
	gravel (Schotter)
3=mineral_oil (Mineralöle)
	oil (Öl)
	fuel (Benzin)
	chemicals (Chemikalien)
4=frozen_goods (Gefriergut)
	dairy (Milchprodukte)
	meat (Fleisch)
	icecream (Speiseeis)
5=prisoners (Gefangene)
	suspects (Verdächtige)
	convicts (Verurteilte)
6=wood (Holz)
	logs (Stämme)
	boards (Bretter)
	sugarcane (Zuckerrohr)
7=pourable_goods (Rieselgut)
	grain (Getreide)
	sugar (Zucker)
8=valuables (Wertgegenstände)
	gold (Goldbarren)
	coins (Münzen)
	notes (Papiergeld)
